positionName,salary,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,businessZones,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate
广告数据分析师leader,25k-50k,"['电商', '数据分析', 'SQLServer']",5-10年,500强，免费班车，五险一金，带薪年休假,本科,全职,"['数据分析', 'SQLServer']",深圳,北京京东世纪贸易有限公司,京东集团,"['五险一金', '带薪年假', '免费班车', '定期体检']",2000人以上,宝安区,上市公司,电商,['新安'],开发|测试|运维类,数据开发,数据分析,22.549436,113.885817,2,79
增长经理/增长黑客（数据分析方向）,30k-50k,"['大数据', '数据分析']",5-10年,"大数据平台,纳斯达克,扁平化管理",本科,全职,['数据分析'],深圳,深圳市和讯华谷信息技术有限公司,极光,"['五险一金', '文体活动', '团建旅游', '美味晚餐']",500-2000人,南山区,上市公司,企业服务,,开发|测试|运维类,数据开发,数据分析,22.550224,113.908469,2,100
SL产品运营经理（数据分析）,15k-30k,['其他'],5-10年,发展空间大,本科,全职,[],深圳,顺丰科技有限公司,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",2000人以上,南山区,不需要融资,物流丨运输,"['后海', '科技园']",产品|需求|项目类,数据分析,数据分析,22.523392,113.937987,1,8
DSQ-大数据分析专家,50k-80k,"['算法', '数据分析']",5-10年,重点项目 技术氛围,硕士,全职,"['算法', '数据分析']",深圳,顺丰科技有限公司,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",2000人以上,南山区,不需要融资,物流丨运输,"['后海', '科技园']",开发|测试|运维类,数据开发,数据分析,22.523392,113.937987,1,8
DSQ-大数据分析资深工程师,30k-50k,"['数据分析', '算法']",5-10年,重点项目 技术氛围,硕士,全职,"['数据分析', '算法']",深圳,顺丰科技有限公司,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",2000人以上,南山区,不需要融资,物流丨运输,"['后海', '科技园']",开发|测试|运维类,数据开发,数据分析,22.523392,113.937987,1,8
DSQ-大数据分析工程师\专家,40k-80k,"['大数据', '数据分析']",5-10年,平台好 成长快,硕士,全职,['数据分析'],深圳,顺丰科技有限公司,顺丰科技有限公司,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",2000人以上,南山区,不需要融资,物流丨运输,"['后海', '科技园']",产品|需求|项目类,数据分析,大数据,22.523392,113.937987,1,8
大数据分析师,15k-20k,['数据分析'],5-10年,工作餐 五险一金 周末双休,本科,全职,['数据分析'],成都,成都积微物联集团股份有限公司,积微物联,"['午餐补助', '节日礼物', '岗位晋升', '五险一金']",500-2000人,高新区,不需要融资,"移动互联网,消费生活",,开发|测试|运维类,数据开发,数据分析,30.534348,104.062998,1,15
大数据分析师,15k-25k,['数据分析'],1-3年,"五险一金,9天年假起,旅游补贴,医疗报销",本科,全职,['数据分析'],成都,成都聚思力信息技术有限公司,成都聚思力信息技术有限公司,"['绩效奖金', '带薪年假', '交通补助', '午餐补助']",500-2000人,高新区,上市公司,"移动互联网,电商",['华阳'],开发|测试|运维类,数据开发,数据分析,30.53895,104.05558,2,100
数据分析师,8k-16k,"['数据运营', '数据分析']",1-3年,大牛多 平台好 空间大 大咖云集,本科,全职,"['数据运营', '数据分析']",成都,成都乐信圣文科技有限责任公司,乐信圣文,"['带薪年假', '午餐补助', '年终奖金', '五险一金']",150-500人,高新区,B轮,"游戏,医疗丨健康",,产品|需求|项目类,数据分析,数据分析,30.546019,104.061223,2,100
数据分析师,6k-10k,"['移动互联网', '电商']",1-3年,带薪年假 五险一金 节日福利 公司旅游,大专,全职,[],成都,西安华讯科技有限责任公司,Huatek,[],150-500人,郫县,未融资,"电商,移动互联网",,产品|需求|项目类,数据分析,数据分析,30.766298,103.897778,0,0
数据分析师,6k-12k,['分析师'],1-3年,大平台,大专,全职,['分析师'],成都,北京弘合柏基金融信息服务有限责任公司,有利网,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",2000人以上,武侯区,不需要融资,金融,"['玉林', '小天竺', '跳伞塔']",金融类,互联网金融,分析师,30.631306,104.067586,1,5
