positionName,salary,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,businessZones,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate
Senior Data Analyst,15k-30k,"['大数据', '移动互联网', '数据分析', 'SQL', '数据库']",3-5年,"国际化团队,工程师文化 移动应用",本科,全职,"['数据分析', 'SQL', '数据库']",北京,北京安亿致用科技有限公司,AppAnnie,"['D轮融资', '国际化团队', '弹性工作时间', '快速晋升空间']",150-500人,东城区,D轮及以上,移动互联网,"['广渠门', '花市', '光明楼']",产品|需求|项目类,数据分析,数据分析,39.894495,116.440239,1,100
数据分析师,15k-20k,"['本地生活', '数据分析', '数据运营', 'SQL', 'BI']",3-5年,餐补，话补，交通补，全额公积金，带薪病假,本科,全职,"['数据分析', '数据运营', 'SQL', 'BI']",北京,北京合生活网络科技有限公司,北京合生活网络科技有限公司,"['交通补助', '带薪年假', '午餐补助', '通讯津贴']",150-500人,朝阳区,不需要融资,消费生活,,产品|需求|项目类,数据分析,数据分析,39.891893,116.478395,2,61
数据分析师,14k-25k,"['互联网金融', 'MySQL', '数据分析']",1-3年,福利待遇好、团队气氛好、上升空间大,本科,全职,"['MySQL', '数据分析']",北京,小小黛朵（北京）科技有限公司,花生米富,"['股票期权', '带薪年假', '功夫熊按摩', '杀人游戏']",150-500人,朝阳区,B轮,"移动互联网,金融","['亚运村', '安贞']",开发|测试|运维类,数据开发,数据分析,39.972825,116.396575,2,100
数据分析师（融资）,8k-13k,"['金融', 'SQL', '数据库', '数据分析', '数据运营']",1-3年,五险一金、带薪年假、晋升空间、大平台,本科,全职,"['SQL', '数据库', '数据分析', '数据运营']",北京,北京弘合柏基金融信息服务有限责任公司,有利网,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",2000人以上,朝阳区,不需要融资,金融,"['亮马桥', '燕莎', '麦子店']",产品|需求|项目类,数据分析,数据分析,39.949958,116.46343,0,0
数据分析师-用户增长,15k-30k,"['电商', '新零售', 'Hive', 'MySQL', '数据处理']",3-5年,"C2M,牛人多,盈利平台",本科,全职,"['Hive', 'MySQL', '数据处理']",北京,珠海随变科技有限公司,必要商城,"['商业医疗保险', '带薪年假', '扁平管理', '下午茶']",150-500人,朝阳区,不需要融资,电商,,开发|测试|运维类,数据开发,数据分析,39.924162,116.455537,1,100
数据分析工程师,15k-30k,['数据分析'],1-3年,十四薪；午餐晚餐；六险一金；地铁周边；,本科,全职,['数据分析'],北京,北京瓴岳信息技术有限公司,洋钱罐,"['14薪', '弹性工作', '零食水果', '午餐晚餐']",150-500人,朝阳区,不需要融资,"移动互联网,金融",,开发|测试|运维类,数据开发,数据分析,39.929643,116.460733,1,100
风险计量部-数据分析师,15k-30k,['数据分析'],不限,六险一金 带薪年假 节日福利,本科,全职,['数据分析'],北京,贝壳金科控股有限公司,贝壳金服,"['专项奖金', '年终分红', '定期体检', '绩效奖金']",500-2000人,朝阳区,未融资,金融,"['酒仙桥', '大山子']",开发|测试|运维类,数据开发,数据分析,39.98033,116.499346,1,15
数据分析师,15k-25k,"['数据分析', 'MySQL', 'Hive']",3-5年,"年底双薪,股票期权,扁平管理,晋升快",本科,全职,"['数据分析', 'MySQL', 'Hive']",北京,北京水滴互联科技有限公司,水滴互助,"['网络互助', '医疗健康', '网络筹款', '互联网金融']",500-2000人,朝阳区,B轮,"移动互联网,医疗丨健康","['望京', '来广营']",开发|测试|运维类,数据开发,数据分析,40.012589,116.47097,1,65
数据分析工程师,15k-30k,"['移动互联网', '社交', '数据分析', '数据库']",3-5年,"扁平管理,季度奖金,多次调薪,团队年轻",本科,全职,"['数据分析', '数据库']",北京,北京巅峰同道科技有限公司,巅峰同道,"['绩效奖金', '弹性工作', '领导好', '技能培训']",50-150人,朝阳区,B轮,"金融,移动互联网",,产品|需求|项目类,数据分析,数据分析,40.012093,116.468041,1,10
高级数据分析师,25k-35k,['数据分析'],5-10年,扁平化管理 旅游基金 离地铁2分钟,本科,全职,['数据分析'],北京,发现时空（北京）信息技术有限公司,发现旅行,"['岗位晋升', '技能培训', '扁平管理', '弹性工作']",50-150人,朝阳区,B轮,旅游,,产品|需求|项目类,数据分析,数据分析,39.9253,116.460056,1,92
高级数据分析师(财务),20k-30k,['数据分析'],5-10年,技术大牛，工作氛围好，行业领先,本科,全职,['数据分析'],北京,北京永洪商智科技有限公司,永洪科技,"['期权股激励', '领导好', '五险一金', '巨大成长空间']",150-500人,朝阳区,C轮,企业服务,,开发|测试|运维类,数据开发,数据分析,39.914005,116.452067,2,100
数据分析经理,15k-25k,['数据分析'],1-3年,发展前景、双休、五险一金,本科,全职,['数据分析'],北京,北京云杉世界信息技术有限公司,美菜网,"['技能培训', '节日礼物', '绩效奖金', '岗位晋升']",2000人以上,朝阳区,D轮及以上,电商,,产品|需求|项目类,数据分析,数据分析,39.972219,116.401057,0,0
数据分析助理,5k-6k,['数据分析'],不限,老板nice，年轻团队，帅哥美女多！,本科,全职,['数据分析'],北京,北京金骨朵文化传播有限公司,骨朵传媒,"['股票期权', '专项奖金', '鬼马精灵团队', '年底双薪']",15-50人,朝阳区,A轮,移动互联网,,产品|需求|项目类,数据分析,数据分析,39.995443,116.46622,0,0
数据分析助理工程师,8k-10k,"['医疗健康', '数据分析', '数据处理']",不限,可接触到行业内顶尖师资力量，跟随一起学习,本科,全职,"['数据分析', '数据处理']",北京,义乌哈工亿脑科技有限公司,亿脑科技,[],15-50人,朝阳区,未融资,"硬件,人工智能","['左家庄', '国展']",开发|测试|运维类,数据开发,数据分析,39.961075,116.45504,0,0
数据分析师（数据策略方向）,15k-30k,"['电商', '汽车', '商业', 'SQL', 'SPSS', '数据分析']",3-5年,"股票期权,独角兽,领导好,团队好",本科,全职,"['商业', 'SQL', 'SPSS', '数据分析']",北京,车好多旧机动车经纪（北京）有限公司,车好多集团,"['带薪年假', '弹性工作', '免费班车', '五险一金']",2000人以上,朝阳区,D轮及以上,消费生活,,产品|需求|项目类,数据分析,数据分析,39.972351,116.498927,1,100
数据分析师-用户画像方向,15k-25k,"['电商', '新零售', '运营', '产品运营', '用户运营', '电商运营']",3-5年,"C2M,牛人多,盈利平台",本科,全职,"['运营', '产品运营', '用户运营', '电商运营']",北京,珠海随变科技有限公司,必要商城,"['商业医疗保险', '带薪年假', '扁平管理', '下午茶']",150-500人,朝阳区,不需要融资,电商,,运营|编辑|客服类,运营,数据运营,39.924162,116.455537,1,100
高级数据分析师,20k-35k,"['数据分析', '数据运营', 'SQL', 'BI']",5-10年,"14薪,五险一金,晋升快,扁平管理",本科,全职,"['数据分析', '数据运营', 'SQL', 'BI']",北京,北京水滴互联科技有限公司,水滴互助,"['网络互助', '医疗健康', '网络筹款', '互联网金融']",500-2000人,朝阳区,B轮,"移动互联网,医疗丨健康","['望京', '来广营']",产品|需求|项目类,数据分析,业务运营,40.012589,116.47097,1,65
数据分析师（金融）,20k-40k,"['商业', '可视化', '数据分析']",3-5年,"领导好,股票期权,奖金多,靠谱CEO",本科,全职,"['商业', '可视化', '数据分析']",北京,车好多旧机动车经纪（北京）有限公司,车好多集团,"['带薪年假', '弹性工作', '免费班车', '五险一金']",2000人以上,朝阳区,D轮及以上,消费生活,,产品|需求|项目类,数据分析,数据分析,39.972351,116.498927,1,100
数据分析师,15k-25k,"['商业', '数据分析', 'SPSS', 'SQL']",1-3年,科技驱动 年度旅游 弹性工作 福利充足,本科,全职,"['商业', '数据分析', 'SPSS', 'SQL']",北京,北京瓴岳信息技术有限公司,洋钱罐,"['14薪', '弹性工作', '零食水果', '午餐晚餐']",150-500人,朝阳区,不需要融资,"移动互联网,金融","['团结湖', '三里屯', '工体']",产品|需求|项目类,数据分析,数据分析,39.929643,116.460733,1,100
数据分析师,20k-30k,"['互联网金融', '数据分析', 'SQL']",3-5年,免费午餐 发展空间大 团队氛围好,本科,全职,"['数据分析', 'SQL']",北京,北京闪银奇异科技有限公司,闪银奇异,"['13~15薪', '晋升空间大', '定期体检', '能力定薪']",500-2000人,朝阳区,D轮及以上,"移动互联网,金融","['团结湖', '三里屯', '工体']",产品|需求|项目类,数据分析,数据分析,39.934441,116.466553,1,100
数据分析师,10k-15k,"['银行', '大数据', '数据分析']",1-3年,七险一金，不加班；晋升快速，涨知识；,本科,全职,['数据分析'],北京,深圳索信达数据技术有限公司,索信达数据,"['年底双薪', '带薪年假', '股票期权', '专项奖金']",150-500人,朝阳区,上市公司,人工智能,,产品|需求|项目类,数据分析,数据分析,39.937019,116.515855,1,100
数据分析,8k-12k,"['教育', '电商', '绩效管理', '绩效考核', '薪酬福利', '人力资源']",1年以下,"五险一金,上市公司,万人规模",本科,全职,"['绩效管理', '绩效考核', '薪酬福利', '人力资源']",北京,北京尚德在线教育科技有限公司,尚德机构,"['绩效奖金', '专项奖金', '五险一金', '带薪年假']",2000人以上,朝阳区,上市公司,教育,,综合职能|高级管理,人力资源,人力资源专员|助理,40.019206,116.469762,1,100
数据分析（融资方向）,8k-14k,"['BI', 'SQL', '数据库']",1-3年,发展空间大 团队nice,本科,全职,"['BI', 'SQL', '数据库']",北京,北京弘合柏基金融信息服务有限责任公司,有利网,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",2000人以上,朝阳区,不需要融资,金融,,产品|需求|项目类,数据分析,数据分析,39.948574,116.601144,1,100
数据分析师,15k-25k,"['商业', 'SQL', '数据分析']",3-5年,"弹性工作,出海产品,挑战大,海量数据",本科,全职,"['商业', 'SQL', '数据分析']",北京,北京慢点生活科技有限公司,动动,"['股票期权', '世界顶级团队', '扁平管理', '六险一金']",50-150人,朝阳区,B轮,"移动互联网,医疗丨健康","['团结湖', '三里屯', '工体']",产品|需求|项目类,数据分析,数据分析,39.927785,116.461988,1,94
数据分析师,10k-20k,"['SQL', '数据分析']",1-3年,成长空间大，五险一金,本科,全职,"['SQL', '数据分析']",北京,玖富数科科技集团有限责任公司,玖富数科集团,"['绩效奖金', '免费班车', '五险一金', '部门旅游']",2000人以上,朝阳区,D轮及以上,金融,"['望京', '来广营']",产品|需求|项目类,数据分析,数据分析,40.021212,116.468122,1,44
数据分析师,10k-20k,['数据分析'],1-3年,"带薪休假,商业保险,广阔平台",本科,全职,['数据分析'],北京,凤凰飞扬（北京）新媒体信息技术有限公司,凤凰网,"['免费班车', '八险一金', '各色型男', '过节大礼包']",2000人以上,朝阳区,上市公司,文娱丨内容,"['望京', '来广营']",产品|需求|项目类,数据分析,数据分析,40.00522,116.49084,2,16
数据分析师,25k-50k,['电商'],1-3年,良好的发展前景,本科,全职,[],北京,行吟信息科技（上海）有限公司,小红书,"['年度旅游', '节日礼物', '专项奖金', '带薪年假']",500-2000人,朝阳区,D轮及以上,消费生活,,产品|需求|项目类,数据分析,数据分析,39.948574,116.601144,1,100
数据分析师（信息流业务方向）,10k-20k,"['商业', '数据分析']",3-5年,团队氛围好，职业选择清晰,本科,全职,"['商业', '数据分析']",北京,北京奇艺世纪科技有限公司,爱奇艺,"['绩效奖金', '五险一金', '交通补助', '带薪年假']",2000人以上,朝阳区,上市公司,文娱丨内容,"['三里屯', '工体']",产品|需求|项目类,数据分析,其他数据分析,39.934748,116.444698,2,100
数据分析师,15k-30k,"['教育', '移动互联网', '数据分析']",5-10年,"周末双休,试用期全薪,节日福利,年底双薪",本科,全职,['数据分析'],北京,北京多知科技有限公司,考虫网,[],150-500人,朝阳区,D轮及以上,教育,,产品|需求|项目类,数据分析,数据分析,39.919494,116.436324,1,100
数据分析师,8k-12k,"['移动互联网', '可视化', '数据运营', 'SPSS', 'SQL']",1-3年,绩效奖金 年终奖金 弹性工作,本科,全职,"['可视化', '数据运营', 'SPSS', 'SQL']",北京,北京中澜视讯传媒科技有限公司,中澜视讯,"['专项奖金', '带薪年假', '绩效奖金', '股票期权']",50-150人,朝阳区,A轮,"移动互联网,文娱丨内容","['四惠', '百子湾']",产品|需求|项目类,数据分析,数据分析,39.903951,116.496628,1,100
数据分析,10k-20k,"['BI', 'SQL', '数据库']",3-5年,五险一金，周末双休，带薪年假、节日福利,本科,全职,"['BI', '数据分析', 'SQL', '数据库']",北京,北京弘合柏基金融信息服务有限责任公司,有利网,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",2000人以上,朝阳区,不需要融资,金融,['亮马桥'],产品|需求|项目类,数据分析,数据分析,39.948051,116.456076,1,100
数据分析师,15k-30k,"['SQL', 'SPSS']",3-5年,成长空间大，五险一金,本科,全职,"['SQL', 'SPSS']",北京,玖富数科科技集团有限责任公司,玖富数科集团,"['绩效奖金', '免费班车', '五险一金', '部门旅游']",2000人以上,朝阳区,D轮及以上,金融,"['望京', '来广营']",产品|需求|项目类,数据分析,数据分析,40.021212,116.468122,1,44
数据分析师,20k-35k,['商业'],1-3年,五险一金，饭补,本科,全职,['商业'],北京,北京车托帮网络技术有限公司,车托帮,"['带薪年假', '绩效奖金', '午餐补助', '节日礼物']",50-150人,朝阳区,C轮,"移动互联网,消费生活",['亮马桥'],产品|需求|项目类,数据分析,数据分析,39.955468,116.473313,2,40
数据分析师,6k-12k,"['游戏', '数据分析']",1-3年,"公司平台大,福利待遇好,发展空间广,团队氛围棒",本科,全职,['数据分析'],北京,深圳市中手游网络科技有限公司,CMGE中手游,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",500-2000人,朝阳区,上市公司,"移动互联网,游戏","['望京', '来广营', '花家地']",产品|需求|项目类,数据分析,数据分析,39.994996,116.467456,1,89
数据分析师,15k-30k,"['教育', 'BI', '数据分析']",3-5年,五一9天假、双休、旅游津贴、nice领导,本科,全职,"['BI', '数据分析']",北京,北京粉笔未来科技有限公司,猿辅导,"['股票期权', '年底双薪', '五险一金', '带薪年假']",2000人以上,朝阳区,D轮及以上,"移动互联网,教育",,产品|需求|项目类,数据分析,数据分析,39.992592,116.4745,1,100
数据分析,8k-15k,['数据运营'],1-3年,"成熟团队,上升空间",本科,全职,"['数据分析', '数据运营']",北京,上海花千树信息科技有限公司北京分公司,世纪佳缘,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",500-2000人,朝阳区,上市公司,移动互联网,"['安定门', '鼓楼']",产品|需求|项目类,数据分析,数据分析,39.967978,116.400542,1,100
数据分析师,20k-35k,"['大数据', '数据挖掘']",1-3年,"大牛如云,飞速发展,海量数据,海量数据",本科,全职,['数据挖掘'],北京,北京数美时代科技有限公司,数美,"['年底双薪', '大数据', '带薪年假', '通讯津贴']",150-500人,朝阳区,B轮,"企业服务,数据服务","['望京', '来广营']",开发|测试|运维类,数据开发,数据挖掘,40.021083,116.465953,1,100
数据分析师(建模方向),20k-35k,"['大数据', '金融', 'Hadoop', '算法', '数据挖掘', '数据分析']",5-10年,五险一金，餐补，交通便利，环境高大上,本科,全职,"['Hadoop', '算法', '数据挖掘', '数据分析']",北京,深圳瑞银信信息技术有限公司,瑞银信,"['带薪年假', '管理规范', '五险一金', '岗位晋升']",2000人以上,朝阳区,不需要融资,"移动互联网,金融",,开发|测试|运维类,数据开发,建模,39.933115,116.457221,1,35
数据分析师（商业分析团队）,10k-15k,"['数据分析', 'SQL']",1-3年,七险一金，免费自助餐，健身房，大咖云集,本科,全职,"['数据分析', 'SQL']",北京,北京闪银奇异科技有限公司,闪银奇异,"['13~15薪', '晋升空间大', '定期体检', '能力定薪']",500-2000人,朝阳区,D轮及以上,"移动互联网,金融","['团结湖', '三里屯', '朝阳公园']",产品|需求|项目类,数据分析,数据分析,39.93431,116.466601,1,47
数据分析师,15k-30k,"['大数据', '金融', '数据分析']",不限,"五险一金,弹性工作,工作居住证,商业医疗",本科,全职,['数据分析'],北京,思凯思特（北京）科技有限公司,PINTEC,"['弹性工作', '年终奖金', '定期体检', '扁平管理']",150-500人,朝阳区,上市公司,"移动互联网,金融",['三里屯'],开发|测试|运维类,数据开发,数据分析,39.933068,116.459221,1,100
数据分析师,20K-40K,"['大数据', '数据挖掘', '数据分析']",1-3年,待遇优厚,本科,全职,"['数据挖掘', '数据分析']",北京,北京一览科技有限公司,一览科技,"['股票期权', '弹性工作', '领导好', '扁平管理']",150-500人,朝阳区,B轮,"移动互联网,文娱丨内容","['望京', '来广营']",开发|测试|运维类,数据开发,数据分析,40.020777,116.465892,0,0
数据分析经理,15k-30k,"['大数据', '数据分析', 'SPSS']",5-10年,"绩效奖金,年底双薪,餐补,房补",本科,全职,"['数据分析', 'SPSS']",北京,北京自如友家资产管理有限公司,自如网,"['丰厚年薪', '六险一金', '健康体检', '带薪年假']",2000人以上,朝阳区,A轮,房产家居,,产品|需求|项目类,数据分析,数据分析,39.972964,116.498456,1,100
数据分析师,20k-35k,"['数据分析', 'SQL', '数据库']",3-5年,"地铁周边,节日福利,年终奖金,晋升空间",本科,全职,"['数据分析', 'SQL', '数据库']",北京,北京百乘金科科技有限公司,百乘金科集团,"['带薪年假', '午餐补助', '扁平管理', '技能培训']",2000人以上,朝阳区,上市公司,金融,"['大屯', '奥运村', '亚运村']",产品|需求|项目类,数据分析,数据分析,39.999053,116.387716,3,46
数据分析师（广告投放）,12k-18k,['移动互联网'],3-5年,"六险一金,上市公司,发展空间大",本科,全职,[],北京,掌阅科技股份有限公司,掌阅,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",500-2000人,朝阳区,上市公司,文娱丨内容,,开发|测试|运维类,数据开发,数据分析,39.905841,116.514211,0,0
数据分析师,15k-25k,"['金融', '移动互联网', 'SPSS', '数据分析', 'SQL', '商业']",1-3年,六险一金，免费班车，补助，年终奖，健身房,本科,全职,"['SPSS', '数据分析', 'SQL', '商业']",北京,北京金山网络科技有限公司,猎豹移动,"['带薪年假', '美女前台', '超赞年终奖', '一公里工作圈']",500-2000人,朝阳区,上市公司,"移动互联网,信息安全",,产品|需求|项目类,数据分析,数据分析,39.931227,116.536392,1,13
数据分析师,15k-25k,"['大数据', '数据挖掘', '数据分析']",1-3年,"大牛如云,技术氛围,大佬领投,七险一金",本科,全职,"['数据挖掘', '数据分析']",北京,北京数美时代科技有限公司,数美,"['年底双薪', '大数据', '带薪年假', '通讯津贴']",150-500人,朝阳区,B轮,"企业服务,数据服务","['望京', '来广营']",开发|测试|运维类,数据开发,数据分析,40.021083,116.465953,1,100
数据分析师,8k-15k,"['大数据', '数据分析']",1-3年,"五险一金,补充医疗,大平台,技术大咖多",本科,全职,['数据分析'],北京,北京人民在线网络有限公司,人民在线,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']",150-500人,朝阳区,不需要融资,"数据服务,移动互联网","['大望路', '红庙', '京广桥']",产品|需求|项目类,数据分析,数据分析,39.916187,116.47486,0,0
数据分析师,15k-30k,"['数据分析', '数据运营']",1-3年,六险一金，福利健全，平台发展前景好,本科,全职,"['数据分析', '数据运营']",北京,北京妙医佳健康科技集团有限公司,妙健康,"['年度旅游', '管理规范', '六险一金', '弹性工作']",150-500人,朝阳区,C轮,移动互联网,,产品|需求|项目类,数据分析,数据分析,39.90257,116.47384,1,71
数据分析师,20k-35k,"['数据分析', 'BI', '增长黑客']",5-10年,互联网大数据领先品牌 六险一金 弹性工作,不限,全职,"['数据分析', 'BI', '增长黑客']",北京,北京易观智库网络科技有限公司,易观,"['专项奖金', '午餐补助', '技能培训', '扁平管理']",150-500人,朝阳区,B轮,"移动互联网,数据服务",,产品|需求|项目类,数据分析,数据分析,39.978305,116.494885,1,67
数据分析师,15k-25k,"['数据分析', 'SQL']",1-3年,公司规模大 五险一金 发展空间大,本科,全职,"['数据分析', 'SQL']",北京,北京弘合柏基金融信息服务有限责任公司,有利网,"['岗位晋升', '股票期权', '绩效奖金', '定期体检']",2000人以上,朝阳区,不需要融资,金融,"['三元桥', '燕莎', '亮马桥']",产品|需求|项目类,数据分析,业务运营,39.948051,116.456076,1,79
数据分析师,17k-30k,"['BI', '可视化', 'SQL', '数据库']",5-10年,16薪 周末双休 极客文化 弹性工作,本科,全职,"['BI', '可视化', 'SQL', '数据库']",北京,上海证大喜马拉雅网络科技有限公司,喜马拉雅,"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",500-2000人,朝阳区,D轮及以上,"移动互联网,文娱丨内容","['望京', '来广营', '花家地']",产品|需求|项目类,数据分析,数据分析,39.992984,116.456575,1,20
数据分析师,15k-25k,"['数据分析', 'SQL', '数据库']",1-3年,"带薪年假,,五险一金，地铁周边",本科,全职,"['数据分析', 'SQL', '数据库']",北京,北京百乘金科科技有限公司,百乘金科集团,"['带薪年假', '午餐补助', '扁平管理', '技能培训']",2000人以上,朝阳区,上市公司,金融,"['大屯', '奥运村', '亚运村']",产品|需求|项目类,数据分析,数据分析,39.999053,116.387716,1,100
数据分析师,10k-20k,['数据分析'],1-3年,五险一金、周末双休,本科,全职,['数据分析'],北京,和信电子商务有限公司,和信贷,"['节日礼物', '专项奖金', '股票期权', '绩效奖金']",150-500人,朝阳区,上市公司,金融,"['大望路', '建外大街', '红庙']",产品|需求|项目类,数据分析,数据分析,39.907743,116.470847,0,0
数据分析（HRBI）,16k-30k,"['商业', 'BI', '数据分析']",5-10年,优秀团队，发展空间,本科,全职,"['商业', 'BI', '数据分析']",北京,北京三快在线科技有限公司,美团点评,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",2000人以上,朝阳区,上市公司,消费生活,"['望京', '来广营']",产品|需求|项目类,数据分析,BI,40.008007,116.48776,0,0
数据分析师,10k-20k,"['电商', '商业', 'BI']",3-5年,"五险一金,弹性工作,扁平管理,大牛带队",本科,全职,"['商业', 'BI']",北京,北京美住必成科技有限公司,美住,[],500-2000人,朝阳区,A轮,"消费生活,电商",['望京'],产品|需求|项目类,数据分析,数据分析,39.999877,116.486144,1,9
数据分析师,15k-25k,"['互联网金融', '数据分析']",1-3年,"六险一金,带薪假期,工作居住证,外资团队",本科,全职,['数据分析'],北京,思凯思特（北京）科技有限公司,PINTEC,"['弹性工作', '年终奖金', '定期体检', '扁平管理']",150-500人,朝阳区,上市公司,"移动互联网,金融",['三里屯'],产品|需求|项目类,数据分析,数据分析,39.933068,116.459221,1,60
数据分析师,15k-20k,['数据分析'],1-3年,七险一金,本科,全职,['数据分析'],北京,北京心更远科技发展有限公司,火花思维,"['在线教育', '数学思维', '带薪年假', '定期体检']",500-2000人,朝阳区,C轮,"移动互联网,教育","['望京', '来广营']",开发|测试|运维类,数据开发,数据分析,40.012058,116.47493,2,64
数据分析师,10k-15k,"['电商', '大数据', '数据分析', 'SPSS']",5-10年,"广阔空间,年轻团队,欢乐氛围",本科,全职,"['数据分析', 'SPSS']",北京,北京造化科技有限公司,造作,"['年底双薪', '股票期权', '绩效奖金', '节日礼物']",150-500人,朝阳区,B轮,"消费生活,电商","['酒仙桥', '大山子', '将台路']",产品|需求|项目类,数据分析,数据分析,39.978199,116.49895,2,8
数据分析师（数据产品开发与建模）,15k-30k,"['移动互联网', '金融', '数据分析', '数据运营', 'SQL']",3-5年,弹性工作，不打卡，领导nice，补充医疗,本科,全职,"['数据分析', '数据运营', 'SQL']",北京,天创信用服务有限公司,天创信用,"['年底双薪', '带薪年假', '岗位晋升', '扁平管理']",150-500人,朝阳区,B轮,"移动互联网,金融",,产品|需求|项目类,数据分析,数据分析,39.889881,116.463152,1,16
数据分析师-用户增长方向,18k-35k,['数据分析'],3-5年,六险一金 扁平管理 空间大,本科,全职,['数据分析'],北京,雪球（北京）技术开发有限公司,雪球,"['股票期权', '带薪年假', '年度旅游', '定期体检']",150-500人,朝阳区,D轮及以上,金融,,开发|测试|运维类,数据开发,数据分析,40.02124,116.468857,1,100
数据分析师,8k-10k,['数据分析'],不限,"五险一金,补充医疗,带薪年假,大牛团队",本科,全职,['数据分析'],北京,北京人民在线网络有限公司,人民在线,"['年底双薪', '专项奖金', '绩效奖金', '带薪年假']",150-500人,朝阳区,不需要融资,"数据服务,移动互联网","['大望路', '红庙', '京广桥']",开发|测试|运维类,数据开发,数据分析,39.916187,116.47486,0,0
大数据分析师,15k-22k,"['数据挖掘', '数据仓库']",1-3年,阿里大牛、带薪年假、五险一金 周末双休,本科,全职,"['数据挖掘', '数据仓库']",北京,北京码上赢科技有限公司,码上赢,"['弹性工作', '五险一金', '阿里系', '牛人多']",50-150人,朝阳区,A轮,"移动互联网,企业服务",,开发|测试|运维类,数据开发,数据分析,39.962563,116.451351,1,100
数据分析师,15k-20k,['数据分析'],1-3年,核心业务,本科,全职,[],北京,北京三快在线科技有限公司,美团点评,"['技能培训', '绩效奖金', '岗位晋升', '领导好']",2000人以上,朝阳区,上市公司,消费生活,,产品|需求|项目类,数据分析,数据分析,40.008142,116.486622,3,100
数据分析师,10k-20k,['数据分析'],1-3年,扁平化管理，团队nice,本科,全职,['数据分析'],北京,北京源梦伟业网络科技有限公司,源梦伟业,"['带薪年假', '年底双薪', '弹性工作', '节日礼物']",50-150人,朝阳区,未融资,"移动互联网,数据服务",,产品|需求|项目类,数据分析,数据分析,39.910169,116.471469,0,0
数据分析,10k-20k,['金融'],不限,"五险一金,定期体检,每月补贴",本科,全职,['数据分析'],北京,深圳瑞银信信息技术有限公司,瑞银信,"['带薪年假', '管理规范', '五险一金', '岗位晋升']",2000人以上,朝阳区,不需要融资,"移动互联网,金融",,开发|测试|运维类,数据开发,数据分析,39.933115,116.457221,1,35
数据分析师,15k-25k,['数据分析'],3-5年,五险一金 地铁周边 周末双休 带薪年假,本科,全职,['数据分析'],北京,和信电子商务有限公司,和信贷,"['节日礼物', '专项奖金', '股票期权', '绩效奖金']",150-500人,朝阳区,上市公司,金融,"['大望路', 'CBD']",产品|需求|项目类,数据分析,数据分析,39.907743,116.470847,0,0
数据分析师,15k-25k,"['数据分析', '数据库', 'SQL', '可视化']",1-3年,精英团队，创业初期，前景光明,本科,全职,"['数据分析', '数据库', 'SQL', '可视化']",北京,北京逍遥志科技有限公司,逍遥志科技,"['定期体检', '股票期权', '弹性工作', '领导好']",15-50人,朝阳区,A轮,"移动互联网,金融",['朝外'],产品|需求|项目类,数据分析,数据分析,39.916105,116.43661,2,8
大数据分析师,10k-20k,"['教育', '算法', '数据挖掘', '数据分析']",不限,"发展空间大,待遇高,各种补贴",本科,全职,"['算法', '数据挖掘', '数据分析']",北京,北京泛钛客科技有限公司,泛钛客,"['带薪年假', '年底双薪', '定期体检', '午餐补助']",150-500人,朝阳区,A轮,"金融,数据服务","['百子湾', '大望路', '高碑店']",开发|测试|运维类,数据开发,数据分析,39.893496,116.500682,1,9
数据分析师,15k-25k,"['商业', '数据分析', '数据库']",3-5年,发展空间大 福利好 氛围轻松自由,本科,全职,"['商业', '数据分析', '数据库']",北京,北京音未文化传媒有限责任公司,V.FINE MUSIC,"['音乐', '音乐人', '音乐服务']",50-150人,朝阳区,A轮,"企业服务,文娱丨内容","['酒仙桥', '大山子']",产品|需求|项目类,数据分析,数据分析,39.97984,116.498434,0,0
数据分析（资金方向）,15k-25k,['分析师'],1-3年,"氛围棒棒哒,帅哥美女多,专业大牛",本科,全职,['分析师'],北京,天道计然（北京）信息科技有限责任公司,美利金融,"['节日礼物', '股票期权', '带薪年假', '年底多薪']",2000人以上,朝阳区,B轮,金融,,金融类,互联网金融,分析师,40.00019,116.488496,3,3
数据分析师,15k-25k,['移动互联网'],3-5年,上市公司，六险一金，工作氛围好,本科,全职,[],北京,掌阅科技股份有限公司,掌阅,"['专项奖金', '带薪年假', '年度旅游', '扁平管理']",500-2000人,朝阳区,上市公司,文娱丨内容,,开发|测试|运维类,数据开发,数据分析,39.905841,116.514211,0,0
