positionName,positionLables,workYear,positionAdvantage,education,jobNature,skillLables,city,companyFullName,companyShortName,companyLabelList,companySize,district,financeStage,industryField,firstType,secondType,thirdType,latitude,longitude,resumeProcessDay,resumeProcessRate,min_salary,max_salary
数据分析师-数据建模方向-L00083,数据分析,3-5年,"班车,餐补",本科,全职,数据分析,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,开发|测试|运维类,数据开发,数据分析,39.786038,116.564383,1,100,20,40
用户增长数据分析,"大数据, 互联网金融, 数据分析, 数据挖掘, 数据处理",5-10年,班车，餐补，平台,本科,全职,"数据分析, 数据挖掘, 数据处理",北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,开发|测试|运维类,数据开发,数据分析,39.786038,116.564383,2,22,20,40
数据分析经理,数据分析,5-10年,大平台，班车、餐补,本科,全职,数据分析,北京,北京京东世纪贸易有限公司,京东物流,"免费班车, 子女教育计划, 安居计划, 救助基金",2000人以上,大兴区,上市公司,物流丨运输,开发|测试|运维类,数据开发,数据分析,39.797041,116.513019,1,73,14,24
数据分析岗,"电商, SQL",3-5年,大平台、快速成长通道、福利好,本科,全职,SQL,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,产品|需求|项目类,数据分析,数据分析,39.786038,116.564383,1,28,20,30
数据分析师-L00488,数据分析,3-5年,"班车,餐补",本科,全职,数据分析,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,产品|需求|项目类,数据分析,数据分析,39.786038,116.564383,1,100,15,30
增长数据分析,"电商, 移动互联网, 数据挖掘, 数据分析",5-10年,平台大 发展好,本科,全职,"数据挖掘, 数据分析",北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,大兴区,上市公司,电商,开发|测试|运维类,数据开发,数据分析,39.786448,116.562817,0,0,30,50
数据分析经理-L00732,数据分析,5-10年,"班车,餐补",本科,全职,数据分析,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,产品|需求|项目类,数据分析,数据分析,39.786038,116.564383,1,100,20,40
数据分析专家,"广告营销, 新零售, 数据分析, 消费者分析, 市场分析",3-5年,发展前景好,本科,全职,"数据分析, 消费者分析, 市场分析",北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,市场|商务类,市场|营销,商业数据分析,39.786038,116.564383,0,0,30,40
业务数据分析师,电商,3-5年,绩效奖金，五险一金，免费班车，午餐补助,本科,全职,,北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,大兴区,上市公司,电商,运营|编辑|客服类,运营,数据运营,39.786653,116.562968,1,58,10,20
数据分析经理-L00206,移动互联网,3-5年,"班车,餐补",本科,全职,,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,产品|需求|项目类,数据分析,数据分析,39.786038,116.564383,1,100,15,30
高级数据分析师-L00642,"电商, MySQL",5-10年,班车、餐补,大专,全职,MySQL,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,开发|测试|运维类,数据开发,数据分析,39.786038,116.564383,1,100,20,40
数据分析高级经理-L00203,数据分析,5-10年,班车；餐补,本科,全职,数据分析,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,产品|需求|项目类,数据分析,数据分析,39.786038,116.564383,1,100,15,25
人工智能业务数据分析师（零售场景）,"电商, 大数据, 数据分析",3-5年,"AI领域,餐补,世界五百强",本科,全职,数据分析,北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,大兴区,上市公司,电商,开发|测试|运维类,数据开发,数据分析,39.793114,116.505858,0,0,20,30
固收市场数据分析师-L00482,数据分析,5-10年,"班车,餐补",本科,全职,数据分析,北京,京东数字科技控股有限公司,京东数字科技,"供应链金融, 消费金融, 众筹业务, 支付业务",2000人以上,大兴区,上市公司,金融,开发|测试|运维类,数据开发,数据分析,39.786038,116.564383,1,100,35,40
物流数据分析岗,"电商, 数据分析",不限,京东,本科,全职,数据分析,北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,大兴区,上市公司,电商,产品|需求|项目类,数据分析,数据分析,39.786653,116.562968,0,0,8,15
数据分析师,"企业服务, 移动互联网, 数据分析, 数据运营, 数据库, SQL",不限,五险一金 领导nice 上市公司理,大专,全职,"数据分析, 数据运营, 数据库, SQL",北京,彩讯科技股份有限公司,彩讯股份,"节日礼物, 技能培训, 年度旅游, 岗位晋升",500-2000人,西城区,上市公司,"移动互联网,消费生活",产品|需求|项目类,数据分析,数据分析,39.91207,116.360629,0,0,9,12
大数据分析师,数据分析,5-10年,福利前景好,硕士,全职,数据分析,北京,建信金融科技有限责任公司,建信金科,"绩效奖金, 带薪年假, 交通补助, 通讯津贴",2000人以上,西城区,不需要融资,"金融,不限",开发|测试|运维类,数据开发,数据分析,39.891412,116.326806,3,27,30,40
高级数据分析师,数据分析,3-5年,福利待遇优 发展空间大,本科,全职,数据分析,北京,央视市场研究股份有限公司,CTR,"年底双薪, 节日礼物, 技能培训, 绩效奖金",500-2000人,西城区,D轮及以上,广告营销,开发|测试|运维类,数据开发,数据分析,39.964612,116.379479,1,22,20,30
数据分析,数据挖掘,3-5年,"团队强悍,待遇丰厚,地铁周边",本科,全职,"数据挖掘, 数据分析",北京,北京沃丰时代数据科技有限公司,Udesk－企业级智能客服平台,"AI, 大数据, 云服务, 大牛带队",150-500人,西城区,C轮,企业服务,开发|测试|运维类,数据开发,数据分析,39.939211,116.357353,2,100,20,40
数据分析岗,数据分析,3-5年,福利待遇 发展前景,本科,全职,数据分析,北京,国网汇通金财（北京）信息科技有限公司,国家电网全资子公司北京汇通金财,"节日礼物, 技能培训, 专项奖金, 带薪年假",500-2000人,西城区,不需要融资,"电商,金融",产品|需求|项目类,数据分析,数据分析,39.890423,116.35779099999999,3,33,8,15
大数据分析技术总监,"技术管理, 领导力, 业务流程管理",3-5年,顶尖数据分析团队，权威机构数据来源,硕士,全职,"技术管理, 领导力, 业务流程管理",北京,联洋国融（北京）科技有限公司,联洋国融,,50-150人,西城区,天使轮,数据服务,开发|测试|运维类,高端技术职位,技术总监,39.969851,116.38333300000001,1,4,30,60
高级数据分析师,"电商, 移动互联网",3-5年,大型的互联网公司有经验,硕士,全职,,北京,国网汇通金财（北京）信息科技有限公司,国家电网全资子公司北京汇通金财,"节日礼物, 技能培训, 专项奖金, 带薪年假",500-2000人,西城区,不需要融资,"电商,金融",开发|测试|运维类,数据开发,数据分析,39.890648999999996,116.35739,3,33,12,20
数据分析师,"互联网金融, 分析师",不限,周末双休 不加班 高薪 地铁沿线,大专,全职,分析师,北京,北京越铖国际科技有限公司,越铖国际,,50-150人,丰台区,未融资,金融,金融类,互联网金融,分析师,39.82373,116.29631599999999,0,0,6,12
数据分析实习,"医疗健康, 数据分析, SPSS",不限,五险一金，节日福利，员工关怀，环境好，,硕士,实习,"数据分析, SPSS",北京,北京诺道认知医学科技有限公司,诺道医学,"年底双薪, 股票期权, 专项奖金, 带薪年假",50-150人,丰台区,A轮,"移动互联网,医疗丨健康",产品|需求|项目类,数据分析,数据分析,39.866381,116.30609799999999,0,0,6,8
数据分析实习生,"工具软件, 大数据, 数据分析",应届毕业生,福利好 发展快 技术,硕士,实习,数据分析,北京,北京联行网络科技有限公司,北京联行科技,"绩效奖金, 带薪年假, 通讯津贴, 午餐补助",150-500人,丰台区,未融资,"移动互联网,消费生活",开发|测试|运维类,数据开发,数据分析,39.86806,116.336169,2,100,4,6
数据分析实习,"其他, 互联网金融, 证券分析",应届毕业生,五险一金，全勤奖，双休，大牛带队，晋升大,大专,实习,证券分析,北京,北京越铖国际科技有限公司,越铖国际,,50-150人,丰台区,未融资,金融,金融类,证券|基金|信托|期货,证券分析师,39.82373,116.29631599999999,1,2,8,10
数据分析专员,"证券, 证券分析",应届毕业生,每3个月有岗位晋升机会,大专,全职,"证券, 证券分析",北京,北京越铖国际科技有限公司,越铖国际,,50-150人,丰台区,未融资,金融,金融类,证券|基金|信托|期货,证券经纪人,39.82373,116.29631599999999,0,0,6,10
经济市场数据分析师,"行业研究, 分析师",应届毕业生,五险双休年底双薪，弹性工作全勤奖定期团建,本科,全职,"行业研究, 分析师",北京,北京越铖国际科技有限公司,越铖国际,,50-150人,丰台区,未融资,金融,金融类,互联网金融,分析师,39.82373,116.29631599999999,0,0,10,15
数据分析师,数据分析,3-5年,五险一金，年终奖，免费体检，免费班车,本科,全职,数据分析,北京,泰康在线财产保险股份有限公司,泰康在线,"绩效奖金, 带薪年假, 交通补助, 通讯津贴",500-2000人,昌平区,不需要融资,"移动互联网,金融",产品|需求|项目类,数据分析,数据分析,40.097801000000004,116.272152,2,100,17,23
数据分析师,"医疗健康, 大数据, 数据分析, BI, 数据运营, 数据库",3-5年,大健康产业生态前景无限,本科,全职,"数据分析, BI, 数据运营, 数据库",北京,泰康保险集团股份有限公司,泰康保险集团,"交通补助, 午餐补助, 带薪年假, 定期体检",2000人以上,昌平区,不需要融资,金融,产品|需求|项目类,数据分析,数据分析,40.098795,116.274875,5,1,15,20
数据分析课程研究员(J10911),"商业, 数据分析",不限,待遇好,本科,全职,"商业, 数据分析",北京,北京传智播客教育科技有限公司,传智播客,"技能培训, 绩效奖金, 年度旅游, 岗位晋升",500-2000人,昌平区,C轮,教育,产品|需求|项目类,数据分析,数据分析,40.060165000000005,116.3433,0,0,30,50
数据分析主管,保险,3-5年,五险一金，年终奖，免费体检，免费班车,本科,全职,,北京,泰康在线财产保险股份有限公司,泰康在线,"绩效奖金, 带薪年假, 交通补助, 通讯津贴",500-2000人,昌平区,不需要融资,"移动互联网,金融",产品|需求|项目类,数据分析,数据分析,40.097801000000004,116.272152,2,100,15,20
数据分析-经营,"数据分析, 市场分析, 行业分析",5-10年,"学习氛围,成长空间,领导nice",本科,全职,"数据分析, 市场分析, 行业分析",北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,通州区,上市公司,电商,市场|商务类,市场|营销,商业数据分析,39.786570000000005,116.56323,2,11,20,30
高级数据分析师,"保险, 增长黑客, 数据分析, 可视化, 数据运营",3-5年,五险一金、餐补、交通补、补充医疗、氛围好,硕士,全职,"增长黑客, 数据分析, 可视化, 数据运营",北京,阳光保险集团股份有限公司,阳光保险集团,"绩效奖金, 带薪年假, 交通补助, 午餐补助",2000人以上,通州区,不需要融资,金融,产品|需求|项目类,数据分析,数据分析,39.951574,116.649482,4,100,15,25
行业数据分析员,"数据库, 数据分析",1-3年,牛人数据,本科,全职,"数据库, 数据分析",北京,壹能（北京）网络科技有限公司,电池中国网,"年底双薪, 带薪年假, 定期体检, 年度旅游",15-50人,通州区,未融资,"移动互联网,企业服务",产品|需求|项目类,数据分析,数据分析,39.905502,116.64241799999999,0,0,5,8
天猫数据分析,"电商, 数据分析",1-3年,早九晚六双休五险宠物社群营销 电商企业,大专,全职,数据分析,北京,江苏麦乐多科技有限公司,江苏麦乐多,,500-2000人,通州区,未融资,电商,运营|编辑|客服类,运营,数据运营,39.888521999999995,116.65810900000001,0,0,7,9
数据分析师（市场）,"市场, 数据分析",5-10年,数据分析,本科,全职,"市场, 数据分析",北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,通州区,上市公司,电商,市场|商务类,市场|营销,商业数据分析,39.786570000000005,116.56323,2,11,20,30
经营数据分析岗,电商,3-5年,竞争力强；发展空间,本科,全职,,北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,通州区,上市公司,电商,运营|编辑|客服类,运营,数据运营,39.786570000000005,116.56323,1,100,15,25
供应链数据分析岗,"电商, 物流, 数据分析",5-10年,14薪；平台好,不限,全职,数据分析,北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,通州区,上市公司,电商,开发|测试|运维类,数据开发,数据分析,39.786570000000005,116.56323,0,0,12,18
文案（数据分析方向）,"大数据, 编辑, 文案",不限,数据分析 文案,本科,全职,"编辑, 文案",北京,壹能（北京）网络科技有限公司,电池中国网,"年底双薪, 带薪年假, 定期体检, 年度旅游",15-50人,通州区,未融资,"移动互联网,企业服务",运营|编辑|客服类,编辑,文案策划,39.905502,116.64241799999999,0,0,5,8
BI商业分析师（数据分析）,"移动互联网, BI, 商业",1-3年,发展前景大，业务稳健,本科,全职,"BI, 商业",北京,北京京东世纪贸易有限公司,京东集团,"五险一金, 带薪年假, 免费班车, 定期体检",2000人以上,通州区,上市公司,电商,产品|需求|项目类,数据分析,数据分析,39.786570000000005,116.56323,0,0,15,25
数据分析师,数据分析,5-10年,待遇好，福利好,本科,全职,数据分析,北京,北京易盟天地信息技术股份有限公司,易盟天地,"节日礼物, 技能培训, 专项奖金, 免费班车",500-2000人,石景山区,D轮及以上,移动互联网,产品|需求|项目类,数据分析,数据分析,39.906478,116.218805,1,3,20,40
数据分析师,"SPSS, BI, 可视化, 数据分析",3-5年,五险一金 绩效奖金 交通补助 带薪年假,本科,全职,"SPSS, BI, 可视化, 数据分析",北京,北京畅游天下网络技术有限公司,畅游,"节日礼物, 技能培训, 带薪年假, 岗位晋升",2000人以上,石景山区,上市公司,"移动互联网,游戏",产品|需求|项目类,数据分析,数据分析,39.910208000000004,116.20587900000001,0,0,15,30
数据分析师,"大数据, Hadoop, 数据挖掘, 数据分析",1-3年,"大数据,分析,bi,创业公司",本科,全职,"Hadoop, 数据挖掘, 数据分析",北京,友和利德（天津）科技有限公司,友和利德,,15-50人,石景山区,天使轮,"数据服务,企业服务",开发|测试|运维类,数据开发,数据分析,39.938953999999995,116.193697,0,0,10,20
数据分析师（车贷）(J11975),"互联网金融, 数据分析, MySQL",1-3年,"A股上市,年终奖丰厚,带薪年假,领导好",本科,全职,"数据分析, MySQL",上海,上海二三四五网络科技有限公司,2345.com,"鼓励内部创业, 互联网百强, 亿万用户, 提倡男女恋爱",500-2000人,浦东新区,上市公司,"数据服务,移动互联网",开发|测试|运维类,数据开发,数据分析,31.173871999999996,121.59765,1,100,10,17
数据分析师,"社交, 移动互联网, 可视化, 数据分析, SQL, BI",1年以下,大牛团队，自由度高，弹性工作，福利多多,本科,全职,"可视化, 数据分析, SQL, BI",上海,上海佰集信息科技有限公司,简书,"Mac办公, 弹性工作, 带薪年假, 福利多多",50-150人,徐汇区,B轮,"移动互联网,文娱丨内容",产品|需求|项目类,数据分析,数据分析,31.210219,121.46127,1,100,8,12
数据分析,"电商, 企业服务, 可视化, SQL, 数据运营",3-5年,上市公司 成长空间大,本科,全职,"可视化, 数据分析, SQL, 数据运营",上海,上海微盟企业发展有限公司,微盟,"绩效奖金, 年底双薪, 五险一金, 带薪年假",2000人以上,宝山区,上市公司,企业服务,产品|需求|项目类,数据分析,数据分析,31.349371,121.496277,1,73,10,20
数据分析师,"移动互联网, 大数据, 数据分析, 数据运营",1年以下,"交通补贴,饭补,项目好,下午茶",本科,全职,"数据分析, 数据运营",上海,上海聪盛网络科技有限公司,聪盛网络,"交通补助, 带薪年假, 定期体检, 绩效奖金",150-500人,闵行区,A轮,"游戏,移动互联网",产品|需求|项目类,数据分析,数据分析,31.098734999999998,121.508779,2,22,8,10
数据分析工程师,"数据分析, 数据库",5-10年,五险一金，带薪年假，弹性工作，,本科,全职,"数据分析, 数据库",上海,北京寄云鼎城科技有限公司,寄云科技,"绩效奖金, 弹性工作, 年度旅游, 岗位晋升",50-150人,浦东新区,A轮,"移动互联网,数据服务",产品|需求|项目类,数据分析,数据分析,30.893520000000002,121.926599,3,11,20,40
数据分析师助理,大数据,不限,大数据人工智能；名校系大牛；技术氛围浓,本科,全职,,上海,深圳市一面网络技术有限公司,一面数据,"技能培训, 海归精英团队, Geek分享, 绩效奖金",50-150人,黄浦区,A轮,"移动互联网,数据服务",开发|测试|运维类,数据开发,数据分析,31.220511,121.467854,1,100,5,8
业务数据分析,"其他, 数据分析",不限,节日福利、七天年假、员工班车、加班工资,不限,全职,数据分析,上海,上海旺旺食品集团有限公司,旺旺集团,,2000人以上,闵行区,上市公司,"电商,移动互联网",市场|商务类,市场|营销,商业数据分析,31.18856,121.395046,0,0,6,8
数据分析（数据清洗）,"数据分析, SQL",1-3年,加班少 周末双休,本科,全职,"数据分析, SQL",上海,德士远雄（北京）教育科技有限公司,第一网校,,500-2000人,浦东新区,未融资,"教育,移动互联网",产品|需求|项目类,数据分析,数据分析,31.208298,121.655325,0,100,12,17
